host_time,target_dy_mm,selected_solution_space,actual_solution_space,freedom_score,joint_limit_margin,elbow_margin,wrist_margin,max_command_joint_change_deg,move_elapsed_s,position_error_mm,orientation_error_deg,within_tolerance,target_x_mm,actual_x_mm,error_x_mm,delta_x_mm,target_y_mm,actual_y_mm,error_y_mm,delta_y_mm,target_z_mm,actual_z_mm,error_z_mm,delta_z_mm,target_a_deg,actual_a_deg,error_a_deg,delta_a_deg,target_b_deg,actual_b_deg,error_b_deg,delta_b_deg,target_c_deg,actual_c_deg,error_c_deg,delta_c_deg,target_j1_deg,actual_j1_deg,error_j1_deg,delta_j1_deg,target_j2_deg,actual_j2_deg,error_j2_deg,delta_j2_deg,target_j3_deg,actual_j3_deg,error_j3_deg,delta_j3_deg,target_j4_deg,actual_j4_deg,error_j4_deg,delta_j4_deg,target_j5_deg,actual_j5_deg,error_j5_deg,delta_j5_deg,target_j6_deg,actual_j6_deg,error_j6_deg,delta_j6_deg
2026-09-19T13:33:16.304+09:00,100.0,2,2,0.3006909688313802,0.3006909688313802,1.0,0.7954378763834635,73.62351608276367,3.1086956379986077,0.081277356102217,0.006990404568509994,True,502.93,502.9812927246094,0.05129272460936818,0.042510986328125,105.62,105.66761779785156,0.04761779785155795,100.06836366653442,567.81,567.7686767578125,-0.04132324218744543,-0.06304931640625,3.07,3.072462320327759,0.0024623203277656103,0.0043413639068603516,90.01,90.01539611816406,0.005396118164071595,0.0069122314453125,179.65,179.64630126953125,-0.0036987304687556843,-0.0019683837890625,25.187698364257812,25.19101905822754,0.0033206939697265625,30.959604740142822,-24.085371017456055,-24.076580047607422,0.008790969848632812,2.943387985229492,104.89635467529297,104.89265441894531,-0.00370025634765625,-1.639556884765625,-68.53447723388672,-68.53369903564453,0.0007781982421875,71.0114974975586,23.863136291503906,23.86409568786621,0.0009593963623046875,37.5551176071167,-113.63458251953125,-113.63713073730469,-0.0025482177734375,-73.62606430053711
2026-09-19T13:33:18.303+09:00,200.0,2,2,0.3363231404622396,0.3363231404622396,1.0,1.0,20.765186309814453,1.4962252509994869,0.08705210652630421,0.008591583897020097,True,502.93,502.9332580566406,0.003258056640618179,-0.005523681640625,205.62,205.6439971923828,0.023997192382807953,200.04474306106567,567.81,567.8936157226562,0.08361572265630457,0.0618896484375,3.07,3.072021007537842,0.002021007537848618,0.0039000511169433594,90.01,90.00431060791016,-0.005689392089834655,-0.00417327880859375,179.65,179.65611267089844,0.006112670898431816,0.007843017578125,45.952884674072266,45.95486831665039,0.001983642578125,51.723453998565674,-15.418866157531738,-15.416125297546387,0.0027408599853515625,11.603842735290527,99.55152893066406,99.54119873046875,-0.0103302001953125,-6.9910125732421875,-83.72106170654297,-83.72119140625,-0.00012969970703125,55.824005126953125,43.20515060424805,43.205101013183594,-4.9591064453125e-05,56.89612293243408,-98.95576477050781,-98.95484924316406,0.00091552734375,-58.943782806396484
2026-09-19T13:33:19.905+09:00,300.0,2,2,0.39689300537109373,0.39689300537109373,1.0,1.0,11.939739227294922,1.0974816440011637,0.19921869644842108,0.02278206400293746,True,502.93,502.93768310546875,0.007683105468743179,-0.0010986328125,305.62,305.7115783691406,0.09157836914062045,300.1123242378235,567.81,567.9867553710938,0.17675537109380457,0.155029296875,3.07,3.074789047241211,0.004789047241217759,0.0066680908203125,90.01,89.99945068359375,-0.010549316406240905,-0.009033203125,179.65,179.66961669921875,0.019616699218744316,0.0213470458984375,57.89262390136719,57.89773178100586,0.005107879638671875,63.66631746292114,-4.189321994781494,-4.179481506347656,0.00984048843383789,22.840486526489258,90.46604919433594,90.43858337402344,-0.0274658203125,-16.0936279296875,-87.38788604736328,-87.38847351074219,-0.00058746337890625,52.15672302246094,54.908058166503906,54.90824508666992,0.000186920166015625,68.59926700592041,-94.91630554199219,-94.91106414794922,0.00524139404296875,-54.89999771118164
2026-09-19T13:33:21.505+09:00,200.0,2,2,0.3363231404622396,0.3363231404622396,1.0,1.0,11.939739227294922,1.094688760000281,0.23077671992580923,0.021987546549142877,True,502.93,502.9039306640625,-0.02606933593750682,-0.03485107421875,205.62,205.5802764892578,-0.03972351074219205,199.98102235794067,567.81,567.5841674804688,-0.22583251953119543,-0.24755859375,3.07,3.069531202316284,-0.0004687976837089991,0.0014102458953857422,90.01,90.0245590209961,0.014559020996102845,0.01607513427734375,179.65,179.63352966308594,-0.016470336914068184,-0.014739990234375,45.952884674072266,45.951908111572266,-0.0009765625,51.72049379348755,-15.418866157531738,-15.427178382873535,-0.008312225341796875,11.592789649963379,99.55152893066406,99.57897186279297,0.02744293212890625,-6.953239440917969,-83.72106170654297,-83.72045135498047,0.0006103515625,55.824745178222656,43.20515060424805,43.20480728149414,-0.00034332275390625,56.89582920074463,-98.95576477050781,-98.95958709716797,-0.00382232666015625,-58.94852066040039
2026-09-19T13:33:23.404+09:00,100.0,2,2,0.3006909688313802,0.3006909688313802,1.0,0.7954378763834635,20.765186309814453,1.3955003379996924,0.09454628168540236,0.006695370345206638,True,502.93,502.9091491699219,-0.02085083007813182,-0.029632568359375,105.62,105.57933044433594,-0.04066955566406705,99.9800763130188,567.81,567.7272338867188,-0.08276611328119543,-0.1044921875,3.07,3.0671961307525635,-0.0028038692474297022,-0.0009248256683349609,90.01,90.01518249511719,0.005182495117196595,0.0066986083984375,179.65,179.64682006835938,-0.0031799316406306843,-0.0014495849609375,25.187698364257812,25.18460464477539,-0.003093719482421875,30.953190326690674,-24.085371017456055,-24.090791702270508,-0.005420684814453125,2.9291763305664062,104.89635467529297,104.906982421875,0.01062774658203125,-1.6252288818359375,-68.53447723388672,-68.53369903564453,0.0007781982421875,71.0114974975586,23.863136291503906,23.862911224365234,-0.000225067138671875,37.55393314361572,-113.63458251953125,-113.63668823242188,-0.002105712890625,-73.6256217956543
2026-09-19T13:33:27.004+09:00,0.0,3,3,0.28976353963216145,0.28976353963216145,1.0,0.45637747446695964,73.6252212524414,3.0966605899993738,0.11857203118276888,0.010843739201501248,True,502.93,502.902099609375,-0.02790039062500682,-0.03668212890625,5.62,5.55989933013916,-0.06010066986083995,-0.039354801177978516,567.81,567.711669921875,-0.09833007812494543,-0.12005615234375,3.07,3.0634286403656006,-0.006571359634392593,-0.0046923160552978516,90.01,90.01708221435547,0.007082214355477845,0.00859832763671875,179.65,179.65492248535156,0.004922485351556816,0.00665283203125,-5.766870498657227,-5.774013042449951,-0.007142543792724609,-0.005427360534667969,-27.021968841552734,-27.027172088623047,-0.0052032470703125,-0.0072040557861328125,106.53546905517578,106.54689025878906,0.01142120361328125,0.014678955078125,-139.54527282714844,-139.54638671875,-0.0011138916015625,-0.001190185546875,-13.691324234008789,-13.69250202178955,-0.0011777877807617188,-0.0014801025390625,-40.009361267089844,-40.00440216064453,0.0049591064453125,0.006664276123046875
2026-09-19T13:33:29.504+09:00,-100.0,3,3,0.30654464721679686,0.30654464721679686,1.0,1.0,38.679534912109375,1.9964841599994543,0.09256330802155334,0.007406815438698573,True,502.93,502.9681091308594,0.03810913085936818,0.029327392578125,-94.38,-94.45294952392578,-0.0729495239257858,-100.05220365524292,567.81,567.8523559570312,0.04235595703130457,0.0206298828125,3.07,3.065911054611206,-0.004088945388787124,-0.002209901809692383,90.01,90.00848388671875,-0.001516113281240905,0.0,179.65,179.64401245117188,-0.005987548828130684,-0.0042572021484375,-34.18745422363281,-34.1920051574707,-0.004550933837890625,-28.42341947555542,-22.384416580200195,-22.37518882751465,0.009227752685546875,4.644779205322266,104.01830291748047,104.00727844238281,-0.01102447509765625,-2.524932861328125,-100.86573791503906,-100.86551666259766,0.00022125244140625,38.67967987060547,-38.05665969848633,-38.05710220336914,-0.0004425048828125,-24.366080284118652,-76.67667388916016,-76.68177032470703,-0.005096435546875,-36.67070388793945
2026-09-19T13:33:31.306+09:00,-200.0,3,3,0.34850011189778646,0.34850011189778646,1.0,1.0,17.4852294921875,1.2962688419993356,0.1424862891807044,0.017677605156348173,True,502.93,502.9377746582031,0.007774658203118179,-0.001007080078125,-194.38,-194.4491729736328,-0.06917297363281705,-200.04842710494995,567.81,567.934326171875,0.12432617187505457,0.10260009765625,3.07,3.0661439895629883,-0.0038560104370048975,-0.0019769668579101562,90.01,90.00273132324219,-0.007268676757803405,-0.0057525634765625,179.65,179.6343536376953,-0.015646362304693184,-0.013916015625,-51.67268371582031,-51.67707061767578,-0.00438690185546875,-45.9084849357605,-12.875276565551758,-12.86805534362793,0.007221221923828125,14.151912689208984,97.72498321533203,97.70631408691406,-0.01866912841796875,-8.825897216796875,-93.66268157958984,-93.6618881225586,0.00079345703125,45.88330841064453,-54.90829849243164,-54.9086799621582,-0.0003814697265625,-41.217658042907715,-84.03705596923828,-84.04371643066406,-0.00666046142578125,-44.032649993896484
2026-09-19T13:33:32.905+09:00,-300.0,3,3,0.41508636474609373,0.41508636474609373,1.0,1.0,11.578567385673523,1.094583889000205,0.27010428695329697,0.03537158550067401,True,502.93,502.90771484375,-0.02228515625000682,-0.03106689453125,-294.38,-294.4051818847656,-0.025181884765629547,-300.00443601608276,567.81,568.0780029296875,0.26800292968755457,0.24627685546875,3.07,3.0668468475341797,-0.0031531524658134913,-0.00127410888671875,90.01,89.99649047851562,-0.013509521484365905,-0.011993408203125,179.65,179.61746215820312,-0.032537841796880684,-0.0308074951171875,-61.65201187133789,-61.655426025390625,-0.003414154052734375,-55.88684034347534,-1.2967091798782349,-1.2953753471374512,0.0013338327407836914,25.724592685699463,87.73704528808594,87.70555114746094,-0.031494140625,-18.82666015625,-91.71015167236328,-91.70950317382812,0.00064849853515625,47.835693359375,-64.775390625,-64.77552795410156,-0.0001373291015625,-51.084506034851074,-86.40243530273438,-86.40798950195312,-0.00555419921875,-46.39692306518555
2026-09-19T13:33:34.504+09:00,-200.0,3,3,0.34850011189778646,0.34850011189778646,1.0,1.0,11.578567385673523,1.0959987070000352,0.29753133203157595,0.03370691600628036,True,502.93,502.9376220703125,0.007622070312493179,-0.00115966796875,-194.38,-194.37364196777344,0.0063580322265579525,-199.97289609909058,567.81,567.5126342773438,-0.29736572265619543,-0.319091796875,3.07,3.0712337493896484,0.0012337493896552587,0.00311279296875,90.01,90.02764129638672,0.017641296386727845,0.01915740966796875,179.65,179.67869567871094,0.028695678710931816,0.030426025390625,-51.67268371582031,-51.67075729370117,0.001926422119140625,-45.90217161178589,-12.875276565551758,-12.876641273498535,-0.0013647079467773438,14.143326759338379,97.72498321533203,97.75616455078125,0.03118133544921875,-8.776046752929688,-93.66268157958984,-93.66336822509766,-0.0006866455078125,45.88182830810547,-54.90829849243164,-54.90764236450195,0.0006561279296875,-41.216620445251465,-84.03705596923828,-84.03231811523438,0.00473785400390625,-44.0212516784668
